Register Field Name,CSV Field Name,API Field Name,HESA Alignment,Code,Label,Data Source,Academic Year,Status
Awarding Institution,Awarding Institution,institution,DEGEST,0195,Royal Agricultural University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0196,University of the Highlands and Islands,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0197,The Arts University Bournemouth,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0198,Bell College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0199,Conservatoire for Dance and Drama,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0200,University College Birmingham,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0201,Courtauld Institute of Art,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0202,London Metropolitan University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0203,The University of Buckingham,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0204,The University of Manchester,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0205,Heythrop College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0206,University for the Creative Arts,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0207,Leeds College of Music,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0208,Guildhall School of Music and Drama,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0209,The Liverpool Institute for Performing Arts,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0210,University of Suffolk,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0211,Leeds Arts University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0213,AECC University College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0214,BPP University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0215,GSM London,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0216,Regent's University London,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0217,The London Institute of Banking & Finance,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0218,The University of Law,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0219,"Richmond, The American International University in London",HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0220,Institute of Contemporary Music Performance,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0221,Moorlands College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0223,Redcliffe College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0225,Mattersey Hall,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0227,London School of Science and Technology Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0228,Liverpool School of Tropical Medicine,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0229,The National Film and Television School,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0230,Plymouth College of Art,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0231,ABI College Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0232,BIMM University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0233,West London College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0234,City of London College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0235,EThames Graduate School Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0236,ICON College of Technology and Management,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0237,Kensington College of Business,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0238,Bloomsbury Institute,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0239,Mountview Academy of Theatre Arts,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0240,Nazarene Theological College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0241,Stratford College London Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0242,Tech Music Schools,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0243,The London College UCK,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0244,Arts Educational Schools,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0245,Grafton College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0246,Mont Rose College of Management and Sciences,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0247,Norland College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0248,ForMission Ltd,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0249,UK College of Business and Computing,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0250,London Churchill College Ltd,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0251,The Academy of Contemporary Music,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0252,Empire College London Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0253,East End Computing and Business College Limited,HESA,25/26,No Change
